Assay_Type_s	BRD_affected_or_healthy_s	Beef_or_dairy_s	BioSample_s	Calf_ID_s	Experiment_s	Lesions_s	LibrarySelection_s	Library_Name_s	Library_type_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	Tissue_s	geo_loc_name_s	isolation_source_s	lat_lon_s	preservation_s	AvgSpotLen_l	BioProject_s	BioSampleModel_s	Consent_s	InsertSize_l	Instrument_s	LibraryLayout_s	LibrarySource_s	LoadDate_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s	collection_date_s	host_s
AMPLICON	BRD	Beef	SAMN05463245	1	SRX1988723	yes	PCR	1LBeef	amplicon	5	2	SRR3986695	SRS1592497	1LBeef	lung	Ireland: Sligo	Lung tissue (cranial lobe)	54.2951862 N 8.435996 W	Frozen	500	PRJNA335827	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	METAGENOMIC	2016-07-29	lung metagenome	ILLUMINA	2017-04-18	SRP080306	2015	Bos taurus
AMPLICON	BRD	Beef	SAMN05463246	2	SRX1988724	yes	PCR	2LDairy	amplicon	10	5	SRR3986696	SRS1592496	2LDairy	lung	Ireland: Sligo	Lung tissue (cranial lobe)	54.2951862 N 8.435996 W	Frozen	500	PRJNA335827	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	METAGENOMIC	2016-07-29	lung metagenome	ILLUMINA	2017-04-18	SRP080306	2015	Bos taurus
AMPLICON	BRD	Dairy	SAMN05463255	9	SRX1988725	yes	PCR	9LDairy	amplicon	13	6	SRR3986697	SRS1592495	9LDairy	lung	Ireland: Sligo	Lung tissue (cranial lobe)	54.2951862 N 8.435996 W	RNALater	500	PRJNA335827	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	METAGENOMIC	2016-07-29	lung metagenome	ILLUMINA	2017-04-18	SRP080306	2015	Bos taurus
AMPLICON	healthy	Dairy	SAMN05463345	16HF	SRX1988726	yes	PCR	16LHF	amplicon	7	4	SRR3986698	SRS1592498	16LHF	lung	Ireland: Dublin	Lung tissue (cranial lobe)	53.380717 N 6.3388107 W	RNALater	500	PRJNA335827	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	METAGENOMIC	2016-07-29	lung metagenome	ILLUMINA	2017-04-18	SRP080306	2015	Bos taurus
AMPLICON	healthy	Dairy	SAMN05463346	16HF	SRX1988727	yes	PCR	16LNHF	amplicon	7	4	SRR3986699	SRS1592499	16LNHF	lymph node	Ireland: Dublin	Mediastinal lymph node tissue	53.380717 N 6.3388107 W	RNALater	500	PRJNA335827	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	METAGENOMIC	2016-07-29	lung metagenome	ILLUMINA	2017-04-18	SRP080306	2015	Bos taurus
AMPLICON	healthy	Dairy	SAMN05463347	17HF	SRX1988728	yes	PCR	17LHF	amplicon	10	5	SRR3986700	SRS1592500	17LHF	lung	Ireland: Dublin	Lung tissue (cranial lobe)	53.380717 N 6.3388107 W	RNALater	500	PRJNA335827	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	METAGENOMIC	2016-07-29	lung metagenome	ILLUMINA	2017-04-18	SRP080306	2015	Bos taurus
AMPLICON	healthy	Dairy	SAMN05463348	17HF	SRX1988729	yes	PCR	17LNHF	amplicon	6	3	SRR3986701	SRS1592501	17LNHF	lymph node	Ireland: Dublin	Mediastinal lymph node tissue	53.380717 N 6.3388107 W	RNALater	500	PRJNA335827	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	METAGENOMIC	2016-07-29	lung metagenome	ILLUMINA	2017-04-18	SRP080306	2015	Bos taurus
AMPLICON	healthy	Dairy	SAMN05463349	18HF	SRX1988730	yes	PCR	18LHF	amplicon	10	6	SRR3986702	SRS1592502	18LHF	lung	Ireland: Dublin	Lung tissue (cranial lobe)	53.380717 N 6.3388107 W	RNALater	500	PRJNA335827	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	METAGENOMIC	2016-07-29	lung metagenome	ILLUMINA	2017-04-18	SRP080306	2015	Bos taurus
AMPLICON	healthy	Dairy	SAMN05463350	18HF	SRX1988732	yes	PCR	18LNHF	amplicon	11	6	SRR3986703	SRS1592504	18LNHF	lymph node	Ireland: Dublin	Mediastinal lymph node tissue	53.380717 N 6.3388107 W	RNALater	500	PRJNA335827	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	METAGENOMIC	2016-07-29	lung metagenome	ILLUMINA	2017-04-18	SRP080306	2015	Bos taurus
AMPLICON	healthy	Dairy	SAMN05463351	19HF	SRX1988733	no	PCR	19LHF	amplicon	3	2	SRR3986704	SRS1592505	19LHF	lung	Ireland: Dublin	Lung tissue (cranial lobe)	53.380717 N 6.3388107 W	RNALater	500	PRJNA335827	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	METAGENOMIC	2016-07-29	lung metagenome	ILLUMINA	2017-04-18	SRP080306	2015	Bos taurus
AMPLICON	healthy	Dairy	SAMN05463352	19HF	SRX1988734	no	PCR	19LNHF	amplicon	4	2	SRR3986705	SRS1592506	19LNHF	lymph node	Ireland: Dublin	Mediastinal lymph node tissue	53.380717 N 6.3388107 W	RNALater	500	PRJNA335827	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	METAGENOMIC	2016-07-29	lung metagenome	ILLUMINA	2017-04-18	SRP080306	2015	Bos taurus
AMPLICON	healthy	Dairy	SAMN05463353	20HF	SRX1988735	yes	PCR	20LHF	amplicon	8	5	SRR3986706	SRS1592507	20LHF	lung	Ireland: Dublin	Lung tissue (cranial lobe)	53.380717 N 6.3388107 W	RNALater	500	PRJNA335827	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	METAGENOMIC	2016-07-29	lung metagenome	ILLUMINA	2017-04-18	SRP080306	2015	Bos taurus
AMPLICON	healthy	Dairy	SAMN05463354	20HF	SRX1988736	yes	PCR	20LNHF	amplicon	7	4	SRR3986707	SRS1592508	20LNHF	lymph node	Ireland: Dublin	Mediastinal lymph node tissue	53.380717 N 6.3388107 W	RNALater	500	PRJNA335827	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	METAGENOMIC	2016-07-29	lung metagenome	ILLUMINA	2017-04-18	SRP080306	2015	Bos taurus
AMPLICON	BRD	Dairy	SAMN05463256	9	SRX1988737	yes	PCR	9LNDairy	amplicon	16	7	SRR3986709	SRS1592509	9LNDairy	lymph node	Ireland: Sligo	Mediastinal lymph node tissue	54.2951862 N 8.435996 W	RNALater	500	PRJNA335827	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	METAGENOMIC	2016-07-29	lung metagenome	ILLUMINA	2017-04-18	SRP080306	2015	Bos taurus
AMPLICON	BRD	Dairy	SAMN05463257	10	SRX1988739	yes	PCR	10LDairy	amplicon	11	6	SRR3986711	SRS1592510	10LDairy	lung	Ireland: Sligo	Lung tissue (cranial lobe)	54.2951862 N 8.435996 W	RNALater	500	PRJNA335827	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	METAGENOMIC	2016-07-29	lung metagenome	ILLUMINA	2017-04-18	SRP080306	2015	Bos taurus
AMPLICON	BRD	Dairy	SAMN05463258	10	SRX1988740	yes	PCR	10LNDairy	amplicon	6	3	SRR3986712	SRS1592512	10LNDairy	lymph node	Ireland: Sligo	Mediastinal lymph node tissue	54.2951862 N 8.435996 W	RNALater	500	PRJNA335827	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	METAGENOMIC	2016-07-29	lung metagenome	ILLUMINA	2017-04-18	SRP080306	2015	Bos taurus
AMPLICON	BRD	Beef	SAMN05463259	11	SRX1988741	yes	PCR	11LBeef	amplicon	7	4	SRR3986713	SRS1592513	11LBeef	lung	Ireland: Sligo	Lung tissue (cranial lobe)	54.2951862 N 8.435996 W	RNALater	500	PRJNA335827	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	METAGENOMIC	2016-07-29	lung metagenome	ILLUMINA	2017-04-18	SRP080306	2015	Bos taurus
AMPLICON	BRD	Beef	SAMN05463260	11	SRX1988742	yes	PCR	11LNBeef	amplicon	5	3	SRR3986714	SRS1592514	11LNBeef	lymph node	Ireland: Sligo	Mediastinal lymph node tissue	54.2951862 N 8.435996 W	RNALater	500	PRJNA335827	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	METAGENOMIC	2016-07-29	lung metagenome	ILLUMINA	2017-04-18	SRP080306	2015	Bos taurus
AMPLICON	BRD	Beef	SAMN05463261	12	SRX1988743	yes	PCR	12LBeef	amplicon	13	6	SRR3986715	SRS1592515	12LBeef	lung	Ireland: Kilkenny	Lung tissue (cranial lobe)	52.657619 N 7.232779 W	RNALater	500	PRJNA335827	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	METAGENOMIC	2016-07-29	lung metagenome	ILLUMINA	2017-04-18	SRP080306	2015	Bos taurus
AMPLICON	BRD	Beef	SAMN05463262	12	SRX1988744	yes	PCR	12LNBeef	amplicon	15	7	SRR3986716	SRS1592516	12LNBeef	lymph node	Ireland: Kilkenny	Mediastinal lymph node tissue	52.657619 N 7.232779 W	RNALater	500	PRJNA335827	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	METAGENOMIC	2016-07-29	lung metagenome	ILLUMINA	2017-04-18	SRP080306	2015	Bos taurus
AMPLICON	BRD	Beef	SAMN05463263	13	SRX1988745	yes	PCR	13LBeef	amplicon	17	9	SRR3986717	SRS1592517	13LBeef	lung	Ireland: Athlone	Lung tissue (cranial lobe)	53.4458813 N 7.9345309 W	RNALater	500	PRJNA335827	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	METAGENOMIC	2016-07-29	lung metagenome	ILLUMINA	2017-04-18	SRP080306	2015	Bos taurus
AMPLICON	BRD	Beef	SAMN05463264	13	SRX1988746	yes	PCR	13LNBeef	amplicon	3	2	SRR3986718	SRS1592518	13LNBeef	lymph node	Ireland: Athlone	Mediastinal lymph node tissue	53.4458813 N 7.9345309 W	RNALater	500	PRJNA335827	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	METAGENOMIC	2016-07-29	lung metagenome	ILLUMINA	2017-04-18	SRP080306	2015	Bos taurus
AMPLICON	BRD	Beef	SAMN05463247	3	SRX1988747	yes	PCR	3LBeef	amplicon	18	9	SRR3986719	SRS1592519	3LBeef	lung	Ireland: Sligo	Lung tissue (cranial lobe)	54.2951862 N 8.435996 W	Frozen	500	PRJNA335827	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	METAGENOMIC	2016-07-29	lung metagenome	ILLUMINA	2017-04-18	SRP080306	2015	Bos taurus
AMPLICON	BRD	Beef	SAMN05463265	14	SRX1988748	yes	PCR	14LBeef	amplicon	10	6	SRR3986720	SRS1592520	14LBeef	lung	Ireland: Athlone	Lung tissue (cranial lobe)	53.4458813 N 7.9345309 W	RNALater	500	PRJNA335827	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	METAGENOMIC	2016-07-29	lung metagenome	ILLUMINA	2017-04-18	SRP080306	2015	Bos taurus
AMPLICON	BRD	Beef	SAMN05463266	14	SRX1988749	yes	PCR	14LNBeef	amplicon	5	3	SRR3986721	SRS1592521	14LNBeef	lymph node	Ireland: Athlone	Mediastinal lymph node tissue	53.4458813 N 7.9345309 W	RNALater	500	PRJNA335827	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	METAGENOMIC	2016-07-29	lung metagenome	ILLUMINA	2017-04-18	SRP080306	2015	Bos taurus
AMPLICON	BRD	Beef	SAMN05463267	15	SRX1988750	yes	PCR	15LBeef	amplicon	18	9	SRR3986722	SRS1592522	15LBeef	lung	Ireland: Athlone	Lung tissue (cranial lobe)	53.4458813 N 7.9345309 W	RNALater	500	PRJNA335827	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	METAGENOMIC	2016-07-29	lung metagenome	ILLUMINA	2017-04-18	SRP080306	2015	Bos taurus
